Scanning file: tests/softmax_kernel.py
================= SEQUENCE OF TOKENS =================
 LINE   ID   TOKEN        LEXEME                  SYMTAB
 22    exp                       IDENTIFIER   15         1
 23    denom                     IDENTIFIER   16         2
 24    sum                       IDENTIFIER   16         1
 25    y                         IDENTIFIER   17         2
 26    out_start                 IDENTIFIER   18         2
 27    store                     IDENTIFIER   19         1
====================================================
Distinct identifiers: 28

TOTAL tokens: 142   |   Lexical errors: 0
